source path	audit output path	tracked or untracked	file type	byte size	SHA-256	binary or text	generated or authored	assigned subagent	completion state	review state
.github/workflows/codeql.yml	audit/.github/workflows/codeql.yml.txt	tracked	configuration	1154	182ac64d90e84aa2e87d35b0104fedbfb33808247bb57dbded12e16ff5d7a6ed	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/dependency-review.yml	audit/.github/workflows/dependency-review.yml.txt	tracked	configuration	1124	d12463ced2d9bc607bd4330560338ddac4987c020c43ee5452d2a935757fa39c	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/pages.yml	audit/.github/workflows/pages.yml.txt	tracked	configuration	823	c552eb65fbd204959293a319a6d3a3bcae860b9ae9f8eb30f5317edee1e70f4f	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/regenerate-release.yml	audit/.github/workflows/regenerate-release.yml.txt	tracked	configuration	5307	a26e870608c951b15e4f5e2cef6e126358f79169c0c47c7857d67c2b1e9bd75a	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/release.yml	audit/.github/workflows/release.yml.txt	tracked	configuration	10261	d48f5999a61658375f0738888407c2571534344966ee85d55dd35d00a144c21e	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/schema-lint.yml	audit/.github/workflows/schema-lint.yml.txt	tracked	configuration	8772	354deba104af3733c40ce76282101e35426c1ad78bd542807745940986b2a608	text	authored or hand-maintained	sql-supabase-agent	complete	lead static review complete
.github/workflows/stale.yml	audit/.github/workflows/stale.yml.txt	tracked	configuration	1950	a711f4a61cb190835456e64e5173ab57e1a24fe803c68a89d5335177747b7d5c	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/welcome.yml	audit/.github/workflows/welcome.yml.txt	tracked	configuration	2920	1dabc056e3c14f5b534a6f9422209612b9a3bc43a91652a24ec5094cbe6d21fd	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.gitignore	audit/.gitignore.txt	tracked	text/project file	173	5852147263d0e886385ea349d6985edc743fc956dfd1888edc12caf1aad13f38	text	authored or hand-maintained	lead-coordinator	complete	lead static review complete
.mailmap	audit/.mailmap.txt	tracked	text/project file	172	aec1abb8c8a1a7bf48d90bc4ebcd5b86c9cd0818fba63eb5eaeb23402f787e26	text	authored or hand-maintained	lead-coordinator	complete	lead static review complete
ADMIN.md	audit/ADMIN.md.txt	tracked	markdown	21453	1aaf4021fa3e873f94ef2c7dd71bbafcce54e4d6509882a1dbdbeae79c8ed23e	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
CHANGELOG.md	audit/CHANGELOG.md.txt	tracked	markdown	46445	f3671867402b6fc64864134b87c08a47ecf584e31332651a8e359c44cdb1070d	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
CONTRIBUTING.md	audit/CONTRIBUTING.md.txt	tracked	markdown	3426	7d5ca0a1227d44c7689043b340faa0b6758c1ee345f0d74c53d164e36d844884	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
LICENSE	audit/LICENSE.txt	tracked	text/project file	1054	b29e65f9589589d7947371cd4126465b12a979462bb6b9056b597175a70791c5	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
README.md	audit/README.md.txt	tracked	markdown	8072	fdd37015c9c61a3ac9043a77a6750f783c45b3b3a519fdd0af53ea2128413b1e	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
TERMUX_WIDGET.md	audit/TERMUX_WIDGET.md.txt	tracked	markdown	5327	9796580f81dbc5e0ae9a3f1fea0a47fdab9c54e334851b1fc52f22876c829b6a	text	authored or hand-maintained	installer-platform-agent	complete	lead static review complete
VERSION	audit/VERSION.txt	tracked	text/project file	182	dedaf4a0fc39eb0f85550d95cbd5d1bade5477d569086b06abdbfc28ba71ea76	text	authored or hand-maintained	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/asset-report.json	audit/artifacts/asset-diff/asset-report.json.txt	untracked	configuration	134883	b76f09d710722538ae91b365897b6fe5a43dde734e902ce73bf5ef3b5cae057a	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/local-assets.txt	audit/artifacts/asset-diff/local-assets.txt.txt	untracked	text/project file	5918	6add3e4cc72713974c9d53908ee637fd37224a4e72436a0bd7cbfd321c0f07a0	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AIAnalysisCard-qrpOk1g6.js	audit/artifacts/asset-diff/remote-assets/AIAnalysisCard-qrpOk1g6.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AIAssistant--spCOe6W.js	audit/artifacts/asset-diff/remote-assets/AIAssistant--spCOe6W.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AIWeeklySummary-fVbvFqu3.js	audit/artifacts/asset-diff/remote-assets/AIWeeklySummary-fVbvFqu3.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/About-DbJqhVWT.js	audit/artifacts/asset-diff/remote-assets/About-DbJqhVWT.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/Analytics-D74gQMjN.js	audit/artifacts/asset-diff/remote-assets/Analytics-D74gQMjN.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AnalyticsPeriod-CGXbfYQB.js	audit/artifacts/asset-diff/remote-assets/AnalyticsPeriod-CGXbfYQB.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AnalyticsSubjects-DOh8aXlW.js	audit/artifacts/asset-diff/remote-assets/AnalyticsSubjects-DOh8aXlW.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AnalyticsTasks-DOfUf9Sd.js	audit/artifacts/asset-diff/remote-assets/AnalyticsTasks-DOfUf9Sd.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AnalyticsToday-BTdRNTb0.js	audit/artifacts/asset-diff/remote-assets/AnalyticsToday-BTdRNTb0.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/App-Bcp_57Ks.js	audit/artifacts/asset-diff/remote-assets/App-Bcp_57Ks.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/App-pJGjDiPw.js	audit/artifacts/asset-diff/remote-assets/App-pJGjDiPw.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/AppAccessGate-B975UtK7.js	audit/artifacts/asset-diff/remote-assets/AppAccessGate-B975UtK7.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/Auth-Cw0VAaCZ.js	audit/artifacts/asset-diff/remote-assets/Auth-Cw0VAaCZ.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ChallengesHub-C50y_K_l.js	audit/artifacts/asset-diff/remote-assets/ChallengesHub-C50y_K_l.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ChapterHub-BXRydU0B.js	audit/artifacts/asset-diff/remote-assets/ChapterHub-BXRydU0B.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ChipMultiSelect-BU74OOip.js	audit/artifacts/asset-diff/remote-assets/ChipMultiSelect-BU74OOip.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/CodeHighlighter-DSemo1-_.js	audit/artifacts/asset-diff/remote-assets/CodeHighlighter-DSemo1-_.js.txt	untracked	code	2241	039c8a1f37da16f0a81b103ac016261a59e082dc80f96d4499af53c4178698b7	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/Community-DIqF5406.js	audit/artifacts/asset-diff/remote-assets/Community-DIqF5406.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/CommunityHub-gANxZssO.js	audit/artifacts/asset-diff/remote-assets/CommunityHub-gANxZssO.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/CompletionCelebration-ngx4eqoP.js	audit/artifacts/asset-diff/remote-assets/CompletionCelebration-ngx4eqoP.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/Dashboard-dypAV-0H.js	audit/artifacts/asset-diff/remote-assets/Dashboard-dypAV-0H.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/DashboardHeader-DNuRMna8.js	audit/artifacts/asset-diff/remote-assets/DashboardHeader-DNuRMna8.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/DemoLauncher-CdcwMBr6.js	audit/artifacts/asset-diff/remote-assets/DemoLauncher-CdcwMBr6.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	installer-platform-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/EnhancedChallengeCard-BKErZxiW.js	audit/artifacts/asset-diff/remote-assets/EnhancedChallengeCard-BKErZxiW.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/EventsCalendar-COHF8nOK.js	audit/artifacts/asset-diff/remote-assets/EventsCalendar-COHF8nOK.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ExamCreateEditModal-BdlzfeFO.js	audit/artifacts/asset-diff/remote-assets/ExamCreateEditModal-BdlzfeFO.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ExamDetailPage-q_jDT5_x.js	audit/artifacts/asset-diff/remote-assets/ExamDetailPage-q_jDT5_x.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ExamPrimitives-K6hgnm_l.js	audit/artifacts/asset-diff/remote-assets/ExamPrimitives-K6hgnm_l.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/ExamTemplateSelectorModal-DsEPEF5X.js	audit/artifacts/asset-diff/remote-assets/ExamTemplateSelectorModal-DsEPEF5X.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/Exams-C3jymPwe.js	audit/artifacts/asset-diff/remote-assets/Exams-C3jymPwe.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/FAQ-DuTZR-ip.js	audit/artifacts/asset-diff/remote-assets/FAQ-DuTZR-ip.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/FeaturesSection-DQ9ZRk3R.js	audit/artifacts/asset-diff/remote-assets/FeaturesSection-DQ9ZRk3R.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/Focus-BmgY-9vP.js	audit/artifacts/asset-diff/remote-assets/Focus-BmgY-9vP.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/FocusStore-D5cRXSIr.js	audit/artifacts/asset-diff/remote-assets/FocusStore-D5cRXSIr.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/GlobalPresenceBroadcaster-C5JADiwL.js	audit/artifacts/asset-diff/remote-assets/GlobalPresenceBroadcaster-C5JADiwL.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/GlobalQuickActionsModals-BIoAwrDz.js	audit/artifacts/asset-diff/remote-assets/GlobalQuickActionsModals-BIoAwrDz.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/GlobalTimer-DUR6TMoR.js	audit/artifacts/asset-diff/remote-assets/GlobalTimer-DUR6TMoR.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/GroupChat-j6zM76h9.js	audit/artifacts/asset-diff/remote-assets/GroupChat-j6zM76h9.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/GroupDiscovery-DUcFr2JQ.js	audit/artifacts/asset-diff/remote-assets/GroupDiscovery-DUcFr2JQ.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/GroupInviteGenerator-B-iMSSXc.js	audit/artifacts/asset-diff/remote-assets/GroupInviteGenerator-B-iMSSXc.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/HeadwayUpdatesButton-DUh668tJ.js	audit/artifacts/asset-diff/remote-assets/HeadwayUpdatesButton-DUh668tJ.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	installer-platform-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/HowItWorks-BS-VN8qB.js	audit/artifacts/asset-diff/remote-assets/HowItWorks-BS-VN8qB.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/InviteOnlineOnlyRoute-CZgdOWgx.js	audit/artifacts/asset-diff/remote-assets/InviteOnlineOnlyRoute-CZgdOWgx.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/IsotopeLogoIcon-oPk5Ru-_.js	audit/artifacts/asset-diff/remote-assets/IsotopeLogoIcon-oPk5Ru-_.js.txt	untracked	code	617	40c614536ad5d97b3f33b2746b19b9ff22b6fc49f5c664c7aa520ed6101e19d3	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/IsotopeWrapped2-B4zl9ERi.js	audit/artifacts/asset-diff/remote-assets/IsotopeWrapped2-B4zl9ERi.js.txt	untracked	code	6136	bceeee32c99e1d7ecafa9a381d72555693f8a2d914e4a235e5d4e4e1d26cd4f6	text	generated/built artifact	lead-coordinator	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_AMS-Regular-BQhdFMY1.woff2	audit/artifacts/asset-diff/remote-assets/KaTeX_AMS-Regular-BQhdFMY1.woff2.txt	untracked	font	28076	0cdd387c9590a1a9f9794560022dbb59654a7d86f187aa0c81495ad42d3a7308	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_AMS-Regular-DMm9YOAa.woff	audit/artifacts/asset-diff/remote-assets/KaTeX_AMS-Regular-DMm9YOAa.woff.txt	untracked	font	33516	30da91e84c893f875e252689faebdc590b2871145e8adc7f9a9d4dbd8ce0b251	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_AMS-Regular-DRggAlZN.ttf	audit/artifacts/asset-diff/remote-assets/KaTeX_AMS-Regular-DRggAlZN.ttf.txt	untracked	font	63632	68534840bcfdd2bffb6f0e8deb48684dd01e7f04ea2813267577afb906de1d13	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Bold-ATXxdsX0.ttf	audit/artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Bold-ATXxdsX0.ttf.txt	untracked	font	12368	07d8e303ce4fc12b4bb54f1004170dd190a1f3db45d400fe68060df3e0897268	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Bold-BEiXGLvX.woff	audit/artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Bold-BEiXGLvX.woff.txt	untracked	font	7716	1ae6bd7475590e97e7f145a89e09ccde322f7a6bc0b91607b1c8b8ee28290fed	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Bold-Dq_IR9rO.woff2	audit/artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Bold-Dq_IR9rO.woff2.txt	untracked	font	6912	de7701e42cf1f4cf0b766c03fb27977207eee2f4fd5d76fa82188406da43ea4c	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Regular-CTRA-rTL.woff	audit/artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Regular-CTRA-rTL.woff.txt	untracked	font	7656	3398dd02302557a793f2863f88e02d96ce10df2abffa07c8e9fa90775116e65c	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Regular-Di6jR-x-.woff2	audit/artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Regular-Di6jR-x-.woff2.txt	untracked	font	6908	5d53e70ad607c2352162dec9e0923fb54ecdafaccbf604cd8dcf7d00facb989b	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Regular-wX97UBjC.ttf	audit/artifacts/asset-diff/remote-assets/KaTeX_Caligraphic-Regular-wX97UBjC.ttf.txt	untracked	font	12344	ed0b74372feefcbb9c0666b2e210da37b7e49fa7fbbf3eeb11db5f693dacfbb7	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Bold-BdnERNNW.ttf	audit/artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Bold-BdnERNNW.ttf.txt	untracked	font	19584	9163df9c7122432e6495b4229fa9071cf9ae86a758ae5efc4924ec2e1a6dbce1	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Bold-BsDP51OF.woff	audit/artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Bold-BsDP51OF.woff.txt	untracked	font	13296	9be7ceb88004ab8ad124082246fbfcca4091e36385d4ec6ed1df67375dad50fb	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Bold-CL6g_b3V.woff2	audit/artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Bold-CL6g_b3V.woff2.txt	untracked	font	11348	74444efd593c005e3f4573b44524704c0af0a937fe911cca9e94068d0d140d3f	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Regular-CB_wures.ttf	audit/artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Regular-CB_wures.ttf.txt	untracked	font	19572	1e6f9579e90e2cac37f8f60a597c436e075c114385652b7cbeb0dec0421291b3	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Regular-CTYiF6lA.woff2	audit/artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Regular-CTYiF6lA.woff2.txt	untracked	font	11316	51814d270d06ff0255dba0799994fa4d8c84d11f09951d47595f4abb1f3602dc	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Regular-Dxdc4cR9.woff	audit/artifacts/asset-diff/remote-assets/KaTeX_Fraktur-Regular-Dxdc4cR9.woff.txt	untracked	font	13208	5e28753be717dac97f559f49bc10be9cf3c124ddcabda6659d11cb68febc6463	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Main-Bold-Cx986IdX.woff2	audit/artifacts/asset-diff/remote-assets/KaTeX_Main-Bold-Cx986IdX.woff2.txt	untracked	font	25324	0f60d1b897938ec918c8ce073092411baf9438f6739465693ff18b0f9d20b021	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Main-Bold-Jm3AIy58.woff	audit/artifacts/asset-diff/remote-assets/KaTeX_Main-Bold-Jm3AIy58.woff.txt	untracked	font	29912	c76c5d696297d51b9cb1639c7da4334f0e7dec81b42b11213b5e25ef671bb822	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
artifacts/asset-diff/remote-assets/KaTeX_Main-Bold-waoOVXN0.ttf	audit/artifacts/asset-diff/remote-assets/KaTeX_Main-Bold-waoOVXN0.ttf.txt	untracked	font	51336	138ac28d1663b3037e9c5f52371fa5c63d8324f4a38d22cd573e6ea3a3fd0cf8	binary	generated/built artifact	static-asset-agent	complete	lead static review complete
